paper_id,instA_coords,instB_coords,instA_id,instB_id
01461449472160d8c79355d213d4b8fa8c8ad761,"[-122.2585399, 37.8718992]","[-78.9382286, 36.0014258]",3545,1234
01461449472160d8c79355d213d4b8fa8c8ad761,"[-122.2585399, 37.8718992]","[-76.54892459999998, 39.292706]",3545,8633
01461449472160d8c79355d213d4b8fa8c8ad761,"[-122.2585399, 37.8718992]","[-84.5014413, 39.14063429999999]",3545,4148
01461449472160d8c79355d213d4b8fa8c8ad761,"[-122.2585399, 37.8718992]","[-90.3107962, 38.6487895]",3545,3948
01461449472160d8c79355d213d4b8fa8c8ad761,"[-122.2585399, 37.8718992]","[-79.39565640000002, 43.6628917]",3545,8037
01461449472160d8c79355d213d4b8fa8c8ad761,"[-122.2585399, 37.8718992]","[-81.6543236, 41.5013484]",3545,1078
01461449472160d8c79355d213d4b8fa8c8ad761,"[-78.9382286, 36.0014258]","[-76.54892459999998, 39.292706]",1234,8633
01461449472160d8c79355d213d4b8fa8c8ad761,"[-78.9382286, 36.0014258]","[-84.5014413, 39.14063429999999]",1234,4148
01461449472160d8c79355d213d4b8fa8c8ad761,"[-78.9382286, 36.0014258]","[-90.3107962, 38.6487895]",1234,3948
01461449472160d8c79355d213d4b8fa8c8ad761,"[-78.9382286, 36.0014258]","[-79.39565640000002, 43.6628917]",1234,8037
01461449472160d8c79355d213d4b8fa8c8ad761,"[-78.9382286, 36.0014258]","[-81.6543236, 41.5013484]",1234,1078
01461449472160d8c79355d213d4b8fa8c8ad761,"[-76.54892459999998, 39.292706]","[-84.5014413, 39.14063429999999]",8633,4148
01461449472160d8c79355d213d4b8fa8c8ad761,"[-76.54892459999998, 39.292706]","[-90.3107962, 38.6487895]",8633,3948
01461449472160d8c79355d213d4b8fa8c8ad761,"[-76.54892459999998, 39.292706]","[-79.39565640000002, 43.6628917]",8633,8037
01461449472160d8c79355d213d4b8fa8c8ad761,"[-76.54892459999998, 39.292706]","[-81.6543236, 41.5013484]",8633,1078
01461449472160d8c79355d213d4b8fa8c8ad761,"[-84.5014413, 39.14063429999999]","[-90.3107962, 38.6487895]",4148,3948
01461449472160d8c79355d213d4b8fa8c8ad761,"[-84.5014413, 39.14063429999999]","[-79.39565640000002, 43.6628917]",4148,8037
01461449472160d8c79355d213d4b8fa8c8ad761,"[-84.5014413, 39.14063429999999]","[-81.6543236, 41.5013484]",4148,1078
01461449472160d8c79355d213d4b8fa8c8ad761,"[-90.3107962, 38.6487895]","[-79.39565640000002, 43.6628917]",3948,8037
01461449472160d8c79355d213d4b8fa8c8ad761,"[-90.3107962, 38.6487895]","[-81.6543236, 41.5013484]",3948,1078
01461449472160d8c79355d213d4b8fa8c8ad761,"[-79.39565640000002, 43.6628917]","[-81.6543236, 41.5013484]",8037,1078
014e31dce7e3f2b1a7020a5debfbf228182f8b5e,"[-77.1116333, 39.06339639999999]","[137.9788675, 36.250076]",5417,3734
01574892f1a57f3d22a0ff267ecc77bfcc6214cc,"[-3.7299424, 40.445436799999996]","[-88.22054519999998, 40.092598100000004]",2265,7801
015c335c8cb9e5eabb352e81c0f38bf6f781b202,"[-0.1305194, 51.520861100000005]","[77.6211548, 12.930238099999999]",788,463
0162b627476379a84d5a92480a881efdd3063f66,"[-79.04691340000001, 35.904912200000005]","[-94.5760649, 39.0990178]",4941,6561
0162b627476379a84d5a92480a881efdd3063f66,"[-79.04691340000001, 35.904912200000005]","[-92.4811438, 44.0195792]",4941,10523
0162b627476379a84d5a92480a881efdd3063f66,"[-94.5760649, 39.0990178]","[-92.4811438, 44.0195792]",6561,10523
01786225fa483c68167c505cdfab71de4ce9610e,"[-87.61687690000001, 41.8960678]","[-90.2629289, 38.6351441]",1481,10236
0180abece22ace6548f4601591c98059808d0509,"[114.1370848, 22.282998899999996]","[114.2362653, 22.269599300000003]",112,8834
0188231fdedeb6be9c033cb5a8a78ff537ccaaa3,"[116.35298799999998, 40.004202]","[-83.92945639999998, 35.9544013]",9641,4126
0188acc1eba8c0a3adef55aeada7de552cf855be,"[113.288641, 23.100146]","[113.288641, 23.100146]",5765,1966
018b5b5f732e955d349e14a83481739502ae104c,"[106.7234284, -6.554081599999999]","[136.96824019999997, 35.1538553]",5332,2334
018b5b5f732e955d349e14a83481739502ae104c,"[106.7234284, -6.554081599999999]","[110.3774998, -7.7713847000000005]",5332,5755
018b5b5f732e955d349e14a83481739502ae104c,"[136.96824019999997, 35.1538553]","[110.3774998, -7.7713847000000005]",2334,5755
018b618ea132d47ffb43b003a6c78cb9eeadc017,"[-74.8534317, 40.529933899999996]","[26.7198659, 58.3810843]",8751,7418
019c344f4e7cb623efafb8ee57dcd67602ea80f2,"[113.39728000000001, 23.033374]","[113.344683, 23.151326]",7116,10749
01a462bf8cf2cd973d1651b991d27c9556d2ae3c,"[2.3826409, 48.827758700000004]","[2.1525234, 48.70783489999999]",3888,3679
01b3d789dbd69fff374842fbe2d7f4150fb3d8f5,"[4.485208999999999, 52.1571485]","[5.863818699999999, 51.8220189]",5740,2168
01b5d50e48a2148c4c3d1abdf3f3bb585b744f8d,"[120.08649950000002, 30.30868439999999]","[120.140984, 30.28813]",8453,6980
01b9cff3de8b775f53a16d643be1759374faa4df,"[-87.59871329999999, 41.788607899999995]","[-83.7326064, 42.2840011]",1281,547
01b9cff3de8b775f53a16d643be1759374faa4df,"[-87.59871329999999, 41.788607899999995]","[-83.01720429999999, 39.9946534]",1281,6525
01b9cff3de8b775f53a16d643be1759374faa4df,"[-87.59871329999999, 41.788607899999995]","[-105.002342, 39.746359600000005]",1281,3213
01b9cff3de8b775f53a16d643be1759374faa4df,"[-87.59871329999999, 41.788607899999995]","[-77.4036222, 35.6086399]",1281,9863
01b9cff3de8b775f53a16d643be1759374faa4df,"[-87.59871329999999, 41.788607899999995]","[-95.396499, 29.71052959999999]",1281,3573
01b9cff3de8b775f53a16d643be1759374faa4df,"[-87.59871329999999, 41.788607899999995]","[-91.547979, 41.658974]",1281,4286
01b9cff3de8b775f53a16d643be1759374faa4df,"[-87.59871329999999, 41.788607899999995]","[-95.9759165, 41.2548549]",1281,4113
01b9cff3de8b775f53a16d643be1759374faa4df,"[-87.59871329999999, 41.788607899999995]","[-87.83545129999999, 41.860566999999996]",1281,1245
01b9cff3de8b775f53a16d643be1759374faa4df,"[-87.59871329999999, 41.788607899999995]","[-87.83875379999998, 41.857569700000006]",1281,6097
01b9cff3de8b775f53a16d643be1759374faa4df,"[-87.59871329999999, 41.788607899999995]","[-96.8402208, 32.8120563]",1281,2125
01b9cff3de8b775f53a16d643be1759374faa4df,"[-87.59871329999999, 41.788607899999995]","[-73.8463432, 40.852701200000006]",1281,3118
